月份,CPI汇总环比,消费品_当期,奶类_当期,蛋类_当期,鲜菜_当期,鲜果_当期,猪肉_当期,粮食_当期,居住_当期,租赁房房租_当期,交通通信_当期,食品烟酒_当期,旅游_当期,医疗保健_当期,教育文化娱乐_当期
2023-03,100.7,99.5,99.8,100.2,92.8,100.4,95.8,99.9,100,100,99.6,99.1,99.6,100.1,99.9
2023-04,100.1,99.5,100.2,99.8,93.9,99.3,96.2,99.8,100,100,99.6,99.4,104.6,100.1,100.5
2023-05,100.2,99.8,99.9,98.7,96.6,99.7,98,99.8,99.9,99.9,99.4,99.6,99.4,100.1,99.9
2023-06,100,99.7,99.9,97.8,102.3,98.3,98.7,100,100.1,100.1,99.5,99.8,99.7,100.1,99.8
2023-07,99.7,99.9,100.1,99.2,98.1,94.9,100,99.9,100.1,100.2,101.2,99.4,110.1,100.1,101.3
2023-08,100.1,100.4,99.8,107,100.2,95.6,111.4,100.2,100.1,100.1,101,100.4,101.4,100.1,100.2
2023-09,100,100.4,99.8,102.8,103.3,99.7,100.2,100.4,100,99.9,100.1,100.2,96.6,100.1,100.4
2023-10,99.8,99.9,99.9,96.4,98.1,100.9,98,100,100,99.9,100,99.6,99.7,100,100
2023-11,99.5,99.5,99.9,97.3,95.9,101.9,97,100.1,100,99.9,98.6,99.4,94.1,100,99.1
2023-12,99.7,100.1,100.1,99.8,106.9,101.7,99,100.1,100,100,98.8,100.6,100.1,100.1,100.1
2024-01,99.2,100.2,99.5,98.5,103.8,99.5,99.8,100,100,99.9,100.1,100.3,104.2,100.1,100.7
2024-02,100.7,101.1,99.6,97.8,112.7,104.3,107.2,99.9,100,100,101.6,102.2,113.1,100.4,101.7
