月份,流通中货币(M0)_期余-亿元,货币(M1)_期余-亿元,货币和准货币(M2)_期余-亿元,准货币(M2-M1)_期余-亿元,
2023-03,105591.3,678059.63,2814566.31,2136506.68,
2023-04,105904.46,669761.55,2808469.34,2138707.8,
2023-05,104756.71,675252.98,2820504.68,2145251.7,
2023-06,105419.2,695595.48,2873023.83,2177428.35,
2023-07,106129.68,677218.92,2854031.56,2176812.64,
2023-08,106515.36,679588.35,2869343.25,2189754.91,
2023-09,109253.22,678443.65,2896659.11,2218215.45,
2023-10,108565.35,674696.07,2882276.07,2207580,
2023-11,110225.18,675903.41,2912014.22,2236110.81,
2023-12,113444.64,680542.52,2922713.33,2242170.81,
2024-01,121398.54,694197.88,2976250.2,2282100,
2024-02,121009.93,665916.09,2995572.97,2329656.88,
2024-03,117210.5,685808.9,3047952.16,2362200,
